2025-01-12 03:04:37 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=49715) -> addr(ip='2603:1046:c04:89f::2', port=443) - ESTABLISHED
2025-01-12 03:04:37 - addr(ip='192.168.29.188', port=50368) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:37 - addr(ip='192.168.29.188', port=49901) -> addr(ip='4.152.45.255', port=443) - CLOSE_WAIT
2025-01-12 03:04:37 - addr(ip='192.168.29.188', port=50366) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:37 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=49912) -> addr(ip='2a03:2880:f28a:1cf:face:b00c:0:7260', port=80) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=49772) -> addr(ip='3.6.211.252', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50344) -> addr(ip='2404:6800:4002:826::2005', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50345) -> addr(ip='2404:6800:4002:824::200e', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50312) -> addr(ip='2606:4700:90c2:7cbc:c2a8:bab:5ff2:75c4', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50331) -> addr(ip='2404:6800:4002:81f::2005', port=443) - ESTABLISHED
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50314) -> addr(ip='2404:6800:4002:815::2003', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50321) -> addr(ip='2404:6800:4002:82e::200a', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50313) -> addr(ip='2404:6800:4002:81f::2005', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50319) -> addr(ip='2404:6800:4003:c05::54', port=443) - TIME_WAIT
2025-01-12 03:04:38 - addr(ip='192.168.29.188', port=50371) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
